first_name,last_name,stage_name,album,year,genre,number_of_songs,label,sales,top_hits_in_the_album_(year-rank)
David,Nail,,I'm a Fire,2014,Country,11,MCA Nashville,,Whatever She's Got (2014-3)
Miranda,Lambert,,Platinum,2014,Country,16,RCA Nashville,1000000,Automatic (2014-4)
,,Maddie And Tae,Start Here,2015,Country,11,Dot & Republic Nashville,,Girl In A Country Song (2014-6)
Kenny,Chesney,,The Big Revival,2014,Country,11,Blue Chair & Columbia Nashville,1000000,American Kids (2014-7)
Eric,Church,,The Outsiders,2014,Country Rock,12,Capitol Nashville,2080000,Give Me Back My Hometown (2014-8)
Tim,McGraw,,Sundown Heaven Town,2014,Country,13,Big Machine,,Meanwhile Back At Mama's (2014-10)
,,Florida Georgia Line,Here's To The Good Times,2012,Country,17,Republic Nashville & Big Loud,2447400,Cruise (Remix) (2013-1) & Stay (2013-4) & This Is How We Roll (2013-7) & Cruise (2012-2)
Blake,Shelton,,Base On A True Story�,2013,Country,12,Warner Bros. Nashville,1540000,Sure Be Cool If You Did (2013-3) & Boys 'Round Here (2013-10)
Keith,Urban,,Fuse,2013,Country Pop,13,Hit Red & Capitol Nashville,1110000,We Were Us (2013-5)
,,The Band Perry,Pioneer,2013,Country,12,Republic Nashville,659000,Better Dig Two (2013-6) & Better Dig Two (2012-10)
Chase,Rice,,Ignite The Night,2014,Country Rock,14,Columbia Nashville,,Ready Set Roll (2013-8)
Gary,Allan,,Set You Free,2013,Country,12,MCA Nashville,,Every Storm (Runs Out Of Rain) (2013-9)
Taylor,Swift,,Red,2012,Country Pop,16,Big Machine,6624000,We Are Never Ever Getting Back Together (2012-1)
Hunter,Hayes,,Hunter Hayes,2011,Country,12,Atlantic,1178000,Wanted (2012-3)
,,The Band Perry,The Band Perry,2010,Country Pop,11,Republic Nashville,1080000,All Your Life (2012-4)
Eric,Church,,Chief,2011,Country,12,Capitol Nashville,3080000,Springsteen (2012-5)
Jason,Aldean,,Night Train,2012,Country Pop,15,Broken Bow,1830000,Take A Little Ride (2012-6)
Jake,Owen,,Barefoot Blue Jean Night,2011,Country,11,RCA Nashville,,Alone With You (2012-7) & Barefoot Blue Jean Night (2011-9)
Luke,Bryan,,Tailgates And Tanlines,2011,Country,13,Capitol Nashville,4080000,Drunk On You (2012-8) & I Don't Want This Night To End (2011-7)
Keith,Urban,,Get Closer,2010,Country Pop,8,Hit Red & Capitol Nashville,1110000,You Gonna Fly (2012-9)
Blake,Shelton,,Red River Blue,2011,Country,11,Warner Bros. Nashville,,Honey Bee (2011-1) & God Gave Me You (2011-2)
Jason,Aldean,,My Kinda Party,2010,Country Rock,15,Broken Bow,4080000,Don't You Wanna Stay (2011-3) & Don't You Wanna Stay (2010-6)
Tim,McGraw,,Number One Hits,2010,Country,24,Curb,1000000,Felt Good On My Lips (2011-4)
,,Lady Antebellum,Own The Night,2011,Country Pop,12,Capitol Nashville,1150000,Just A Kiss (2011-5)
Kenny,Chesney,,Hemingway's Whiskey,2010,Country,11,BNA,2000000,Somewhere With You (2011-6)
Rodney,Atkins,,Take a Back Road,2011,Country,13,Curb,,Take A Back Road (2011-8)
,,Zac Brown Band,You Get What You Give,2010,Country,14,Atlantic & Bigger Picture & Southern Ground,3040000,Keep Me In Mind (2011-10)
Josh,Turner,,Haywire,2010,Country,11,MCA Nashville,330700,Why Don't We Just Dance (2010-1)
Reba,McEntire,,Keep On Loving You,2009,Country,13,Valory & Starstruck,,Consider Me Gone (2010-2)
Chris,Young,,The Man I Want to Be,2009,Neotraditional Country,10,RCA Nashville,1000000,The Man I Want To Be (2010-3)
Taylor,Swift,,Speak Now,2010,Country Pop,14,Big Machine,5872500,Ours (2010-4) & Mean (2010-9)
Miranda,Lambert,,Revolution,2009,Country,15,Columbia Nashville,2040000,The House That Built Me (2010-5)
Joe,Nichols,,Old Things New,2009,Country,10,Show Dog Nashville,,Gimmie That Girl (2010-7)
,,Lady Antebellum,Need You Now,2010,Country Pop,11,Capitol Nashville,4647500,American Honey (2010-8)
Jason,Aldean,,Wide Open,2009,Country Rock,12,Broken Bow,1400000,The Truth (2010-10)
