first_name,middle_name,last_name,nickname,pseudonym,date_of_birth,place_of_birth,gender,ethnicity,net_worth_2023,education,highest_degree
David,Wesley,Haywood,,Lady Antebellum,7/5/82,"Augusta, Georgia",Male,White,25000000,"University Of Georgia, Georgia",Bachelor Degree
Charles,Burgess,Kelley,,Lady Antebellum,9/11/81,"Augusta, Georgia",Male,White,25000000,"University Of Georgia, Georgia",Bachelor Degree
Hillary,Dawn,Scott-Tyrrell,,Lady Antebellum,4/1/86,"Nashville, Tennessee",Female,White,25000000,"Donelson Christian Academy, Tennessee",Diploma
Karen,,Fairchild,,Little Big Town,9/28/69,"Gary, Indiana",Female,White,15000000,"Samford University, Alabama",Bachelor Degree
Kimbely,,Schlapman,,Little Big Town,10/15/69,"Toccoa, Georgia",Female,White,5000000,University of Tennesse,Bachelor Degree
Phillip,,Sweet,,Little Big Town,3/18/74,Tennessee,Male,White,5000000,"Arkansas State University, Askansa",Bachelor Degree
Jimi,,Westbrook,,Little Big Town,10/20/71,"Sumiton, Alabama",Male,White,5000000,"Dora High School, Alabama",Diploma
Thomas,Luther,Bryan,Luke,Luke Bryan,7/17/76,"Leesburg, Georgia",Male,White,160000000,Georgia Southern University,Bachelor Degree
Luke,Albert,Combs,,Luke Combs,3/2/90,"Huntersville, North Carolina",Male,White,20000000,"A. C. Reynolds High School, North Carolina",Diploma
Maren,Larae,Morris,,Maren Morris,4/10/90,"Arlington, Terxas",Female,White,8000000,"University of North Texas, Texas",Bachelor Degree
Miranda,Leigh,Lambert,,Mirand Labert,11/10/83,"Longview, Texas",Female,White,60000000,"Lindale High School, Texas",Diploma
Morgan,Cole,Wallen,,Morgan Wallen,5/13/93,"Sneedville, Tennesse",Male,White,12000000,"Gibbs High School, Tennessee",Diploma
Sam,Lowry,Hunt,,Sam Hunt,12/8/84,"Cedartown, Georgia",Male,White,3000000,"University of Alabama, Alabama",Bachelor Degree
Taylor,Alison,Swift,,Taylor Swift,12/13/89,"West Reading, Pennsylvania",Female,White,1400000000,"New York University, New York",Ph.D
Kimbely,Marie,Perry,,The Band Perry,7/12/83,,Female,White,15000000,Cottage Hill Christian Academy,Diploma
Reid,Hogan,Perry,,The Band Perry,11/17/88,"Jackson, Mississippi",Male,White,5000000,Not Disclosed to the public,
Neil,Clark,Perry,,The Band Perry,7/23/90,"Jackson, Mississippi",Male,White,18000000,Not Disclosed to the public,
Thomas,Rhett,Akins Jr,,Thomas Rhett,3/30/90,"Valdosa, Georgia",Male,White,8000000,"Lowndes High School, Georgia",Diploma
Samuel,Timothy,McGraw,,Tim McGraw,5/1/67,"Delhi, Louisiana",Male,White,200000000,"Monroe Christian High School, Washington",Diploma
Coy,,Bowles,,Zac Brown Band,2/20/79,"Thomaston, Georgia",Male,White,25000000,Georgia State University,Bachelor Degree
Zachry,Alexander,Brown,,Zac Brown Band,7/31/78,"Atlanta, Georgia",Male,White,50000000,Lumpkin County High School,Diploma
Douglas,,Cook,Clay,Zac Brown Band,4/20/78,"Atlanta, Georgia",Male,White,5000000,"South Gwinnett High School, Georgia",Diploma
Jimmy,,De Martini,,Zac Brown Band,8/3/76,"Marietta, Georgia",Male,White,23500000,,Diploma
Chris,,Fryar,,Zac Brown Band,11/22/70,"Gardendale, Alabama",Male,White,5000000,Gardendale High School,Diploma
John,Driskell,Hopkins,,Zac Brown Band,5/3/71,"Gainesville, Georgia",Male,White,25000000,Florida State University,Bachelor Degree
Caroline,,Jones,,Zac Brown Band,6/30/90,"New York, New York",Female,White,10000000,New York University,Bachelor Degree
Matt,,Mangano,,Zac Brown Band,5/12/76,"Visalia, California",Male,White,1400000,Berklee College,Bachelor Degree
Daniel,de los,Reyes,,Zac Brown Band,7/18/62,"New York, New York",Male,Hispanic,3000000,"Valley High School, Nevada",Diploma
